,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Total Bsmt SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,SalePrice,remodeled,Age,RemodelAge,total_other_rooms,outdoorspace,reg_lot_shp,leveled_land,culdsac,1fam_hm,unf_attic,hip_roof,premium_ext,exclnt_extr,cblock_foundation,pconc_foundation,other_foundation,exclnt_bsmt,bsmt_exosure,bsmt_finished,bsmt_rec,excellent_heating,central_AC,kitchen_exclnt,fireplace_exclnt,attached_garage,finsihed_garage,pave_drive,normal_sale,vnr_brk,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
0,141.0,31770,6,5,112.0,639.0,0.0,1080.0,0,1656,1.0,1,0,3,1,2,1960.0,2.0,528.0,215000,False,50,50,4,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,80.0,11622,5,6,0.0,468.0,144.0,882.0,0,896,0.0,1,0,2,1,0,1961.0,1.0,730.0,105000,False,49,49,3,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,81.0,14267,6,6,108.0,923.0,0.0,1329.0,0,1329,0.0,1,1,3,1,0,1958.0,1.0,312.0,172000,False,52,52,3,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,93.0,11160,7,5,0.0,1065.0,0.0,2110.0,0,2110,1.0,2,1,3,1,2,1968.0,2.0,522.0,244000,False,42,42,5,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,74.0,13830,5,5,0.0,791.0,0.0,928.0,0,1629,0.0,2,1,3,1,1,1997.0,2.0,482.0,189900,True,13,12,3,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,78.0,9978,6,6,20.0,602.0,0.0,926.0,0,1604,0.0,2,1,3,1,1,1998.0,2.0,470.0,195500,False,12,12,4,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,41.0,4920,8,5,0.0,616.0,0.0,1338.0,0,1338,1.0,2,0,2,1,0,2001.0,2.0,582.0,213500,False,9,9,4,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,43.0,5005,8,5,0.0,263.0,0.0,1280.0,0,1280,0.0,2,0,2,1,0,1992.0,2.0,506.0,191500,False,18,18,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,39.0,5389,8,5,0.0,1180.0,0.0,1595.0,0,1616,1.0,2,0,2,1,1,1995.0,2.0,608.0,236500,True,15,14,3,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,60.0,7500,7,5,0.0,0.0,0.0,994.0,0,1804,0.0,2,1,3,1,1,1999.0,2.0,442.0,189000,False,11,11,4,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
